"bagNo","weight"
1,1.75841281344395
2,2.22054472017025
3,2.39471595273642
4,1.63468753005693
5,2.2487309268545
6,3.6686385504038
7,1.58623265458505
8,3.0709014208405
9,1.9610219190683
10,1.98920560802194
11,1.57022742725467
12,2.11216656464811
13,1.73520679880027
14,1.58708472046896
15,1.93009979444147
16,2.6551179857761
17,2.12464514532118
18,2.59182723547813
19,2.55936146617172
20,2.70321214765484
21,2.77906593003526
22,1.30798429375591
23,2.19882251670285
24,2.08908258901279
25,1.30324801518822
26,1.58728942906182
27,2.88604938042264
28,2.84162112282451
29,1.98866108697479
30,1.92958454449309
