"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
"2017-05-31",10025,"NY","New York","New York","New York",0,3535,-0.00282087447108604,-0.00366403607666291,-0.0365222131370946,22431
"2017-05-31",60657,"IL","Chicago","Cook","Chicago",1,1875,0.00321027287319422,-0.000533049040511727,-0.0491886409736308,32223
"2017-05-31",10023,"NY","New York","New York","New York",2,3777,-0.00184989429175476,-0.0109976433621367,-0.0794540580063368,29114
"2017-05-31",60614,"IL","Chicago","Cook","Chicago",3,2106,0.00381315538608198,-0.00236854571293226,-0.0660753880266075,33150
"2017-05-31",79936,"TX","El Paso","El Paso","El Paso",4,992,0,-0.00100704934541793,-0.0197628458498024,31486
"2017-05-31",10002,"NY","New York","New York","New York",5,3621,0.00304709141274238,-0.00302863436123348,-0.0624029000517866,9172
"2017-05-31",60640,"IL","Chicago","Cook","Chicago",6,1606,0.00312304809494066,0.00816070307595731,-0.0278450363196126,22477
"2017-05-31",10467,"NY","New York","Bronx","New York",7,1720,0.00702576112412178,0.0238095238095238,-0.0364145658263305,7339
"2017-05-31",77084,"TX","Houston","Harris","Houston",8,1413,-0.00422832980972516,-0.0153310104529617,-0.0387755102040816,26718
"2017-05-31",94109,"CA","San Francisco","San Francisco","San Francisco",9,4447,-0.000674157303370786,-0.00157162101481814,-0.0376541874053235,9561
"2017-05-31",75070,"TX","Dallas-Fort Worth","Collin","McKinney",10,1927,-0.000518672199170124,-0.00516262261228704,0.009958071278826,28948
"2017-05-31",11226,"NY","New York","Kings","New York",11,2141,-0.00372266170311773,-0.014726184997699,-0.00139925373134328,10575
"2017-05-31",77494,"TX","Houston","Fort Bend","Cinco Ranch",12,2151,-0.00185614849187935,0.00420168067226891,-0.0835108649339582,31576
"2017-05-31",77449,"TX","Houston","Harris","Cypress",13,1415,-0.00492264416315049,-0.0166782487838777,-0.0413279132791328,31979
"2017-05-31",11375,"NY","New York","Queens","New York",14,2165,0,0.00697674418604651,-0.035204991087344,22413
"2017-05-31",10016,"NY","New York","New York","New York",15,3588,-0.000278629144608526,-0.0093870789618995,-0.0626959247648903,26908
"2017-05-31",11235,"NY","New York","Kings","New York",16,2238,-0.0066577896138482,-0.0114840989399293,0.0112968820605513,16914
"2017-05-31",60647,"IL","Chicago","Cook","Chicago",17,1782,0.0073487846240814,0.0153846153846154,0.00168634064080944,20165
"2017-05-31",37211,"TN","Nashville","Davidson","Nashville",18,1517,0.00730411686586985,0.0113333333333333,0.0243079000675219,20517
"2017-05-31",90250,"CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Hawthorne",19,2548,0.0043358297201419,0.00950871632329636,0.0319967598217902,14870
"2017-05-31",37013,"TN","Nashville","Davidson","Nashville",20,1428,0.00421940928270042,0.00492610837438424,0.0340333091962346,22726
"2017-05-31",10009,"NY","New York","New York","New York",21,3741,0.000534902380315592,-0.0103174603174603,-0.0519513431322859,9251
"2017-05-31",60618,"IL","Chicago","Cook","Chicago",22,1831,0.00273822562979189,0.00659703133589884,-0.0134698275862069,20788
"2017-05-31",10029,"NY","New York","New York","New York",23,2996,0.000333889816360601,-0.00266311584553928,-0.00925925925925926,5782
